t1,t2,value
0.0498665501,2.2938613026,0.005
0.0498665501,2.3437278527,0.027
0.0498665501,2.3935944027,0.05
0.0498665501,2.4434609528,0.056
0.0498665501,2.4933275028,0.081
0.0498665501,2.5431940529,0.118
0.0498665501,2.593060603,0.145
0.0498665501,2.642927153,0.115
0.0498665501,2.6927937031,0.164
0.0498665501,2.7426602531,0.155
0.0498665501,2.7925268032,0.279
0.0498665501,2.8423933532,0.27
0.0498665501,2.8922599033,0.275
0.0498665501,2.9421264534,0.369
0.0498665501,2.9919930034,0.349
0.0498665501,3.0418595535,0.379
0.0498665501,3.0917261035,0.282
0.0498665501,3.1415926536,0.449
0.0498665501,3.1914592036,0.393
0.0498665501,3.2413257537,0.416
0.0498665501,3.2911923038,0.477
0.0498665501,3.3410588538,0.324
0.0498665501,3.3909254039,0.278
0.0498665501,3.4407919539,0.25
0.0498665501,3.490658504,0.231
0.0498665501,3.540525054,0.206
0.0498665501,3.5903916041,0.164
0.0498665501,3.6402581542,0.142
0.0498665501,3.6901247042,0.132
0.0498665501,3.7399912543,0.079
0.0498665501,3.7898578043,0.025
0.0498665501,3.8397243544,0.04
0.0498665501,3.8895909044,0.09
0.0498665501,3.9394574545,0.106
0.0498665501,3.9893240046,0.097
0.0498665501,4.0391905546,0.095
0.0498665501,4.0890571047,0.129
0.0498665501,4.1389236547,0.105
0.0498665501,4.1887902048,0.12
0.0498665501,4.2386567548,0.079
0.0498665501,4.2885233049,0.033
0.0498665501,4.338389855,0.059
0.0498665501,4.388256405,-0.01
0.0498665501,4.4381229551,0.107
0.0498665501,4.4879895051,0.101
0.0498665501,4.5378560552,0.163
0.0498665501,4.5877226052,0.182
0.0498665501,4.6375891553,0.176
0.0498665501,4.6874557054,0.176
0.0498665501,4.7373222554,0.214
0.0498665501,4.7871888055,0.187
0.0498665501,4.8370553555,0.195
0.0498665501,4.8869219056,0.174
0.0498665501,4.9367884556,0.172
0.0498665501,4.9866550057,0.158
0.0498665501,5.0365215558,0.188
0.0498665501,5.0863881058,0.17
0.0498665501,5.1362546559,0.179
0.0498665501,5.1861212059,0.16
0.0498665501,5.235987756,0.246
0.0498665501,5.285854306,0.187
0.0498665501,5.3357208561,0.167
0.0498665501,5.3855874062,0.178
0.0498665501,5.4354539562,0.194
0.0498665501,5.4853205063,0.177
0.0498665501,5.5351870563,0.183
0.0498665501,5.5850536064,0.179
0.0498665501,5.6349201564,0.186
0.0498665501,5.6847867065,0.178
0.0498665501,5.7346532566,0.172
0.0498665501,5.7845198066,0.167
0.0498665501,5.8343863567,0.137
0.0498665501,5.8842529067,0.162
0.0498665501,5.9341194568,0.117
0.0498665501,5.9839860068,0.139
0.0498665501,6.0338525569,0.134
0.0498665501,6.083719107,0.087
0.0498665501,6.133585657,0.086
0.0498665501,6.1834522071,0.092
0.0498665501,6.2333187571,0.068
0.0997331001,0.0,0.082
0.0997331001,0.0498665501,0.045
0.0997331001,0.0997331001,0.017
0.0997331001,0.1495996502,0.025
0.0997331001,0.1994662002,0.016
0.0997331001,0.2493327503,0.063
0.0997331001,0.2991993003,0.093
0.0997331001,0.3490658504,0.101
0.0997331001,0.3989324005,0.057
0.0997331001,0.4487989505,0.121
0.0997331001,0.4986655006,0.14
0.0997331001,0.5485320506,0.128
0.0997331001,0.5983986007,0.152
0.0997331001,0.6482651507,0.166
0.0997331001,0.6981317008,0.133
0.0997331001,0.7479982509,0.164
0.0997331001,0.7978648009,0.163
0.0997331001,0.847731351,0.182
0.0997331001,0.897597901,0.183
0.0997331001,0.9474644511,0.176
0.0997331001,0.9973310011,0.169
