Theta2,3.767,3.77515,3.7833,3.79145,3.7996,3.80775,3.8159,3.82405,3.8322,3.84035,3.8485,3.85665,3.8648,3.87295,3.8811,3.88925,3.8974,3.90555,3.9137,3.92185,3.93,3.93815,3.9463,3.95445,3.9626
3.765,1.16447,1.26105,1.46486,1.48222,1.93485,1.40101,1.43146,1.19737,1.81299,1.45983,1.46344,1.79957,1.2643,1.69933,1.55678,1.36284,1.3,1.27913,1.30617,1.50272,1.09344,1.36767,1.08073,1.98483,1.57593
3.77323,1.59761,1.52794,1.41066,1.69059,1.37448,1.39726,1.35073,1.61453,1.41925,1.13786,1.53434,1.4235,1.48537,1.21608,1.35439,1.40991,1.37483,1.24369,1.57935,1.32442,1.49236,1.44425,1.38193,1.13566,1.29068
3.78145,1.36161,1.40749,1.53628,1.30388,1.22099,1.52216,1.63509,1.29331,1.08875,1.35763,0.726894,1.18186,1.65721,1.51825,1.66223,1.36045,1.09554,1.21816,1.32026,1.56836,1.36432,1.42191,1.14113,1.34933,1.38538
3.78967,1.23252,1.70268,1.43103,1.39327,1.48323,1.99365,1.43013,1.73973,1.43788,1.76048,1.69359,1.49357,1.69535,1.72427,1.58765,1.53615,1.23451,1.53922,1.41584,1.71438,1.12835,1.31388,1.29475,1.06643,1.17798
3.7979,1.54743,1.71885,1.6035,1.04228,1.56045,1.31834,1.57603,1.27248,1.74922,1.29674,1.58058,1.50288,1.28107,1.34223,1.49195,1.64461,1.23619,1.72386,1.33147,1.65233,1.21879,1.63089,1.2547,1.48874,1.28631
3.80613,1.57906,1.58846,1.07677,1.14569,1.5761,1.61421,1.26686,1.39348,1.16495,1.33388,1.71946,1.56283,1.4461,1.70327,1.36632,1.3229,1.63887,1.70366,1.46331,0.748745,0.715698,1.22485,1.27034,1.52601,1.7699
3.81435,1.49872,1.27805,1.27131,1.17542,1.61646,1.54703,1.00266,1.73237,1.42429,1.53818,1.88393,1.63162,1.49442,1.60634,1.22706,1.58819,1.25451,1.55407,1.53129,1.48191,1.66891,1.37228,1.82672,1.2562,1.26877
3.82258,1.54165,1.40987,1.53067,1.34996,1.00393,1.17105,1.55087,1.60131,1.40318,1.42248,1.22542,1.71078,1.49347,1.11331,1.70144,1.52331,1.47191,1.56899,1.53795,1.673,1.32007,1.52324,1.12145,1.15054,1.2762
3.8308,1.43173,1.26872,1.51118,1.15661,1.64294,1.58273,1.31849,1.60033,1.29066,1.48206,1.50535,1.65374,1.11412,1.20785,1.4756,1.30141,1.19244,1.48898,1.70391,1.38558,1.44232,1.45205,1.50594,1.71431,1.68756
3.83903,1.41313,1.09168,1.33775,1.42489,1.23492,1.40955,1.48946,1.46083,1.44336,1.4853,1.86407,1.31931,1.49786,1.32811,1.28255,1.44708,1.63342,1.40826,1.32964,1.37608,1.21253,1.63383,1.67718,1.56654,1.47338
3.84725,1.37015,1.0379,1.28708,1.18175,1.38824,1.36995,1.78078,1.87366,1.12299,1.56453,1.25398,1.31975,1.67522,1.57455,1.56118,1.10157,1.69674,1.668,1.50795,1.6291,1.64879,1.78111,1.16031,1.38379,1.66785
3.85548,1.47386,1.18637,1.27174,1.14475,1.066,1.42283,1.62951,1.58688,1.35752,1.40847,1.59909,1.45919,1.83976,1.89051,1.73782,1.43764,1.49943,1.05267,1.36968,1.28774,1.50669,1.68351,1.59074,1.74099,1.49896
